"","X","Y","Class","text"
"GO:0031269",15.9429281587816,-7.59699213998216,"cellular component organization","pseudopodium assembly"
"GO:0031272",16.6475139138204,-7.85041242793649,"cellular component organization","regulation of pseudopodium assembly"
"GO:0031274",16.6485741252224,-7.84975449021514,"cellular component organization","positive regulation of pseudopodium assembly"
"GO:0031279",-13.9335778105777,-9.1723968630952,"protein modification/signaling","regulation of cyclase activity"
"GO:0031280",-15.1834688209667,-10.1489910025264,"protein modification/signaling","negative regulation of cyclase activity"
"GO:0031281",-14.6470027752812,-9.96748506050508,"protein modification/signaling","positive regulation of cyclase activity"
"GO:0031282",-21.8031423763155,-19.9569701275305,"metabolic process","regulation of guanylate cyclase activity"
"GO:0031283",-21.8429539613202,-20.0915649354377,"metabolic process","negative regulation of guanylate cyclase activity"
"GO:0031284",-21.6831185995027,-21.2786294538491,"metabolic process","positive regulation of guanylate cyclase activity"
"GO:0031290",24.4695518827353,-4.40868566071754,"neural related process","retinal ganglion cell axon guidance"
"GO:0031291",-28.5760498491274,1.78658022599349,"protein modification/signaling","Ran protein signal transduction"
"GO:0031293",-10.6445904368177,-28.7349557447373,"metabolic process","membrane protein intracellular domain proteolysis"
"GO:0031294",10.9333658625946,45.9755430221701,"immune system process","lymphocyte costimulation"
"GO:0031295",10.9344068071284,45.9501863261186,"immune system process","T cell costimulation"
"GO:0031296",12.9245926689679,45.0585319434101,"immune system process","B cell costimulation"
"GO:0031297",-38.7199903072692,-0.624132252571862,"cell cycle","replication fork processing"
"GO:0031333",6.46272813990759,-5.46752785777276,"cellular component organization","negative regulation of protein-containing complex assembly"
"GO:0031334",8.48973189323913,-6.25219505467933,"cellular component organization","positive regulation of protein-containing complex assembly"
"GO:0031335",6.08737243340193,-61.4892296052161,"metabolic process","regulation of sulfur amino acid metabolic process"
"GO:0031338",9.20766603306267,-20.9866683445068,"cellular component organization","regulation of vesicle fusion"
"GO:0031339",-14.8302285037904,-11.3618452164645,"cellular component organization","negative regulation of vesicle fusion"
"GO:0031340",8.31546119161078,-25.7671129272035,"cellular component organization","positive regulation of vesicle fusion"
"GO:0031341",-3.45915170540736,48.7279023472652,"immune system process","regulation of cell killing"
"GO:0031342",-2.35487595869936,48.0587751802643,"immune system process","negative regulation of cell killing"
"GO:0031343",-3.88152415630112,49.4785749481718,"immune system process","positive regulation of cell killing"
"GO:0031344",20.5591445090969,-5.89904809604505,"cellular component organization","regulation of cell projection organization"
"GO:0031345",21.1437569300728,-6.74889976689339,"cellular component organization","negative regulation of cell projection organization"
"GO:0031346",20.1831766846192,-5.71468096017938,"cellular component organization","positive regulation of cell projection organization"
"GO:0031347",-6.94633930457172,38.6611535583648,"stress response","regulation of defense response"
"GO:0031348",-6.12316091474928,40.0027928952192,"stress response","negative regulation of defense response"
"GO:0031349",-7.81131606014047,38.5781833723823,"stress response","positive regulation of defense response"
"GO:0031365",-17.2544181117121,-29.0674880443457,"protein modification/signaling","N-terminal protein amino acid modification"
"GO:0031392",11.3864422599958,-49.3593118543479,"metabolic process","regulation of prostaglandin biosynthetic process"
"GO:0031393",11.1643244893638,-49.1821673392009,"metabolic process","negative regulation of prostaglandin biosynthetic process"
"GO:0031394",12.6108878123732,-46.7822752354181,"metabolic process","positive regulation of prostaglandin biosynthetic process"
"GO:0031396",-17.6917914612777,-21.4506698151577,"protein modification/signaling","regulation of protein ubiquitination"
"GO:0031397",-18.3962699958472,-21.0867344535029,"protein modification/signaling","negative regulation of protein ubiquitination"
"GO:0031398",-17.4479201497678,-21.3013131032589,"protein modification/signaling","positive regulation of protein ubiquitination"
"GO:0031399",-22.5647972163117,-5.586229720098,"protein modification/signaling","regulation of protein modification process"
"GO:0031400",-18.6476844899939,-8.94293384227438,"protein modification/signaling","negative regulation of protein modification process"
"GO:0031401",-23.5759277809683,-4.82453070178675,"protein modification/signaling","positive regulation of protein modification process"
"GO:0031407",7.36675126110522,-57.8663873004356,"metabolic process","oxylipin metabolic process"
"GO:0031408",5.92077112029078,-59.9813890012161,"metabolic process","oxylipin biosynthetic process"
"GO:0031424",48.1730482481998,12.7167748865181,"morphogenesis/development","keratinization"
"GO:0031427",-29.7564176598146,23.0641505367927,"response to stimulus","response to methotrexate"
"GO:0031440",-33.8852904546533,-30.9247092308674,"gene regulation","regulation of mRNA 3'-end processing"
"GO:0031441",-34.5643931674986,-28.7810394871543,"gene regulation","negative regulation of mRNA 3'-end processing"
"GO:0031442",-34.9003857811458,-28.8657354461512,"gene regulation","positive regulation of mRNA 3'-end processing"
"GO:0031443",37.7119801960969,-21.4975727448395,"multicellular organismal process","fast-twitch skeletal muscle fiber contraction"
"GO:0031444",37.6729102306833,-21.4826415941081,"multicellular organismal process","slow-twitch skeletal muscle fiber contraction"
"GO:0031445",-36.7699276585091,-14.4589892337469,"gene regulation","regulation of heterochromatin formation"
"GO:0031446",39.4335117310358,-21.2853423822116,"multicellular organismal process","regulation of fast-twitch skeletal muscle fiber contraction"
"GO:0031448",39.3578651856609,-21.6844049530794,"multicellular organismal process","positive regulation of fast-twitch skeletal muscle fiber contraction"
"GO:0031449",39.3660954676325,-21.084847250479,"multicellular organismal process","regulation of slow-twitch skeletal muscle fiber contraction"
"GO:0031452",-36.8060270185017,-14.5738951829905,"gene regulation","negative regulation of heterochromatin formation"
"GO:0031453",-36.5813966579419,-14.1628098740767,"gene regulation","positive regulation of heterochromatin formation"
"GO:0031455",5.69840221384057,-61.0954564466456,"metabolic process","glycine betaine metabolic process"
"GO:0031456",5.69598481966805,-61.9263196964156,"metabolic process","glycine betaine biosynthetic process"
"GO:0031460",22.7719980587674,-36.7254052480863,"transport","glycine betaine transport"
"GO:0031468",-15.3031451873027,-10.5191754651717,"cellular component organization","nuclear membrane reassembly"
"GO:0031503",10.2597137298187,-25.1490089124189,"cellular component organization","protein-containing complex localization"
"GO:0031507",-37.3128153188634,-15.7803060687939,"gene regulation","heterochromatin formation"
"GO:0031508",-37.0751103966415,-15.4608783327149,"gene regulation","pericentric heterochromatin formation"
"GO:0031509",-36.9347136885006,-15.1460888163746,"gene regulation","subtelomeric heterochromatin formation"
"GO:0031529",15.1383113005976,-7.71172684979567,"cellular component organization","ruffle organization"
"GO:0031536",-53.3473918487202,-3.59454358283191,"cell cycle","positive regulation of exit from mitosis"
"GO:0031547",-14.650427335561,16.5073960170309,"receptor related process","brain-derived neurotrophic factor receptor signaling pathway"
"GO:0031548",-12.1928665783721,15.2124242937246,"receptor related process","regulation of brain-derived neurotrophic factor receptor signaling pathway"
"GO:0031549",-15.8723740143175,9.78784399595432,"receptor related process","negative regulation of brain-derived neurotrophic factor receptor signaling pathway"
"GO:0031550",-11.2183270294425,14.9571790602523,"receptor related process","positive regulation of brain-derived neurotrophic factor receptor signaling pathway"
"GO:0031554",-34.9190082090619,-20.6380910547199,"gene regulation","regulation of termination of DNA-templated transcription"
"GO:0031570",-57.4885662326855,4.66184139179712,"cell cycle","DNA integrity checkpoint signaling"
"GO:0031571",-58.4324115656203,4.65555393870668,"cell cycle","mitotic G1 DNA damage checkpoint signaling"
"GO:0031573",-58.333783312968,4.0121123200135,"cell cycle","mitotic intra-S DNA damage checkpoint signaling"
"GO:0031577",-55.6245274170496,-8.88515891616946,"cell cycle","spindle checkpoint signaling"
"GO:0031579",5.92022711506209,-14.3974888786359,"cellular component organization","membrane raft organization"
"GO:0031580",8.13834495146343,-18.9300777779823,"cellular component organization","membrane raft distribution"
"GO:0031581",16.2884544241839,13.3035466200588,"cellular component organization","hemidesmosome assembly"
"GO:0031583",-9.7645496301771,14.4445037565638,"receptor related process","phospholipase D-activating G protein-coupled receptor signaling pathway"
"GO:0031584",-13.9350903520555,-9.16642585336966,"protein modification/signaling","activation of phospholipase D activity"
"GO:0031585",16.4210276502623,-25.4091499537975,"transport","regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
"GO:0031587",-0.0649956294058388,-20.5294217387396,"transport","positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
"GO:0031589",8.63258770084529,25.601121791479,"cell adhesion","cell-substrate adhesion"
"GO:0031590",-19.1470403584168,-55.5360646572793,"metabolic process","wybutosine metabolic process"
"GO:0031591",-22.0752262835435,-51.0116760312229,"metabolic process","wybutosine biosynthetic process"
"GO:0031619",-48.4730768490571,-8.01341882007424,"cell cycle","homologous chromosome orientation in meiotic metaphase I"
"GO:0031620",-6.52761920266532,31.8110365342101,"immune system process","regulation of fever generation"
"GO:0031622",5.22935641506327,10.5983976719508,"immune system process","positive regulation of fever generation"
"GO:0031623",12.6173641720287,-25.1863966247218,"receptor related process","receptor internalization"
"GO:0031627",-37.3889786255896,-4.40489962362931,"cell cycle","telomeric loop formation"
"GO:0031629",14.5661308075327,-20.9036789551528,"neural related process","synaptic vesicle fusion to presynaptic active zone membrane"
"GO:0031630",11.1261014263265,-23.537403366704,"cellular component organization","regulation of synaptic vesicle fusion to presynaptic active zone membrane"
"GO:0031632",0.892722930390671,-24.7859468138248,"cellular component organization","positive regulation of synaptic vesicle fusion to presynaptic active zone membrane"
"GO:0031635",-11.1830487630438,14.9166222745287,"receptor related process","adenylate cyclase-inhibiting opioid receptor signaling pathway"
"GO:0031638",-11.6917507530801,-28.1774841972773,"protein modification/signaling","zymogen activation"
"GO:0031639",-11.6598178067085,-27.9473000185436,"metabolic process","plasminogen activation"
"GO:0031640",-17.9618966632042,42.8972657924356,"immune system process","killing of cells of another organism"
"GO:0031641",26.44716832378,4.4017206973845,"neural related process","regulation of myelination"
"GO:0031642",21.026389344404,9.26616393689319,"neural related process","negative regulation of myelination"
"GO:0031643",20.8624451791893,12.4848467254723,"neural related process","positive regulation of myelination"
"GO:0031644",30.8743388779951,-16.9425518803874,"neural related process","regulation of nervous system process"
"GO:0031645",30.4263288107648,-16.2717321008031,"neural related process","negative regulation of nervous system process"
"GO:0031646",29.374540335006,-11.2134512710641,"neural related process","positive regulation of nervous system process"
"GO:0031647",-11.8489367927138,-22.2099273967701,"protein modification/signaling","regulation of protein stability"
"GO:0031648",-11.8358938678675,-22.0576891842666,"protein modification/signaling","protein destabilization"
"GO:0031649",8.28055937145215,8.4016944619668,"multicellular organismal process","heat generation"
"GO:0031650",9.15463811932128,0.83512299924081,"multicellular organismal process","regulation of heat generation"
"GO:0031651",21.2947170256975,11.8237062797694,"multicellular organismal process","negative regulation of heat generation"
"GO:0031652",4.19849449301841,-0.0953711247082864,"multicellular organismal process","positive regulation of heat generation"
"GO:0031663",-19.5161802151679,37.8346243276015,"immune system process","lipopolysaccharide-mediated signaling pathway"
"GO:0031664",-17.602484876432,37.9794413684554,"immune system process","regulation of lipopolysaccharide-mediated signaling pathway"
"GO:0031665",-14.2965719214655,38.1325644741607,"immune system process","negative regulation of lipopolysaccharide-mediated signaling pathway"
"GO:0031666",-14.2398329610474,37.9238997236456,"immune system process","positive regulation of lipopolysaccharide-mediated signaling pathway"
"GO:0031667",-33.8323691419158,18.9022510513848,"response to stimulus","response to nutrient levels"
"GO:0031669",-34.353238691067,18.4699158485495,"response to stimulus","cellular response to nutrient levels"
"GO:0031670",-33.4087247786027,19.7516007200576,"response to stimulus","cellular response to nutrient"
"GO:0031848",-37.3506670845465,-4.34542715662407,"stress response","protection from non-homologous end joining at telomere"
"GO:0031860",-38.0161659097807,-2.40169416886999,"cell cycle","telomeric 3' overhang formation"
"GO:0031914",27.864572545858,-16.623866558463,"neural related process","negative regulation of synaptic plasticity"
"GO:0031915",27.9304056139894,-16.6240705456483,"neural related process","positive regulation of synaptic plasticity"
"GO:0031919",25.5800365221563,-34.2876392105909,"transport","vitamin B6 transport"
"GO:0031923",25.0025147912179,-35.0412504034377,"transport","pyridoxine transport"
"GO:0031929",-13.2477378775259,7.33911591947698,"protein modification/signaling","TOR signaling"
"GO:0031930",-3.72450160022319,-4.07859358196125,"receptor related process","mitochondria-nucleus signaling pathway"
"GO:0031943",9.76830392902966,-49.8376594628612,"metabolic process","regulation of glucocorticoid metabolic process"
"GO:0031944",9.24739070041104,-49.6909966880326,"metabolic process","negative regulation of glucocorticoid metabolic process"
"GO:0031945",9.93656139787724,-49.9300522801359,"metabolic process","positive regulation of glucocorticoid metabolic process"
"GO:0031946",9.21286526410576,-49.6980704084097,"metabolic process","regulation of glucocorticoid biosynthetic process"
"GO:0031947",8.72808581407344,-49.0068499534493,"metabolic process","negative regulation of glucocorticoid biosynthetic process"
"GO:0031948",8.9300392022544,-50.2809359213567,"metabolic process","positive regulation of glucocorticoid biosynthetic process"
"GO:0031952",-21.6067100144196,-3.44549440837205,"protein modification/signaling","regulation of protein autophosphorylation"
"GO:0031953",-19.6282290351699,-7.58345599839686,"protein modification/signaling","negative regulation of protein autophosphorylation"
"GO:0031954",-20.7894909047577,-3.05004343714407,"protein modification/signaling","positive regulation of protein autophosphorylation"
"GO:0031958",-15.1249346860125,24.7757204870616,"receptor related process","nuclear receptor-mediated corticosteroid signaling pathway"
"GO:0031959",-14.8153611783337,20.0908419476954,"receptor related process","nuclear receptor-mediated mineralocorticoid signaling pathway"
"GO:0031960",-32.012397301143,25.7620143309676,"response to stimulus","response to corticosteroid"
"GO:0031987",34.1024358064959,-3.49833319955518,"other","locomotion involved in locomotory behavior"
"GO:0031989",-13.0105004265489,18.2336821552926,"receptor related process","bombesin receptor signaling pathway"
"GO:0031990",-3.76148887761915,-34.0327975076567,"transport","mRNA export from nucleus in response to heat stress"
"GO:0031998",12.371417623749,-54.1833431453749,"metabolic process","regulation of fatty acid beta-oxidation"
"GO:0031999",12.3442251277291,-54.3240450967378,"metabolic process","negative regulation of fatty acid beta-oxidation"
"GO:0032000",9.90497334385983,-48.5957818791008,"metabolic process","positive regulation of fatty acid beta-oxidation"
"GO:0032006",-10.9999162672464,7.55472508132736,"protein modification/signaling","regulation of TOR signaling"
"GO:0032007",-16.4465037394221,9.56663797014167,"protein modification/signaling","negative regulation of TOR signaling"
"GO:0032008",-25.1321147583888,5.9825868086638,"protein modification/signaling","positive regulation of TOR signaling"
"GO:0032011",-11.8293019689684,8.40779656966124,"protein modification/signaling","ARF protein signal transduction"
"GO:0032012",-11.7642954853536,8.23992146248196,"protein modification/signaling","regulation of ARF protein signal transduction"
"GO:0032014",-21.4643265489491,4.73142221622213,"protein modification/signaling","positive regulation of ARF protein signal transduction"
"GO:0032020",-18.0362208101301,-23.602210559427,"protein modification/signaling","ISG15-protein conjugation"
"GO:0032023",-10.286377606786,-28.8155284276775,"metabolic process","trypsinogen activation"
"GO:0032024",15.3443593879648,-34.7855150911138,"transport","positive regulation of insulin secretion"
"GO:0032025",-30.1529032290936,17.1782354274743,"response to stimulus","response to cobalt ion"
"GO:0032026",-29.8082700280349,17.1918785467193,"response to stimulus","response to magnesium ion"
"GO:0032042",-37.4908760493201,-0.521738511540575,"metabolic process","mitochondrial DNA metabolic process"
"GO:0032043",-20.1935112713013,-42.3050545024137,"metabolic process","mitochondrial DNA catabolic process"
"GO:0032048",5.46915494804608,-46.4911418544402,"metabolic process","cardiolipin metabolic process"
"GO:0032049",5.78692639668449,-45.7692411789365,"metabolic process","cardiolipin biosynthetic process"
"GO:0032053",-8.2449293350023,-9.72287982870897,"cellular component organization","ciliary basal body organization"
"GO:0032055",-28.5868058732442,-42.3227712995251,"stress response","negative regulation of translation in response to stress"
"GO:0032056",-29.3183411855928,-42.4424171207292,"stress response","positive regulation of translation in response to stress"
"GO:0032057",-27.4316375096299,-39.0358713823834,"gene regulation","negative regulation of translational initiation in response to stress"
"GO:0032058",-29.3157953912572,-42.4415936730731,"stress response","positive regulation of translational initiation in response to stress"
"GO:0032060",14.3498972065298,-3.45687257752649,"cellular component organization","bleb assembly"
"GO:0032069",-18.8842144267967,-13.5168115325095,"metabolic process","regulation of nuclease activity"
"GO:0032070",-27.5523811859954,-7.98582672913982,"metabolic process","regulation of deoxyribonuclease activity"
"GO:0032071",-24.7285581319655,-11.1015739826625,"metabolic process","regulation of endodeoxyribonuclease activity"
"GO:0032072",-29.1843313452177,-6.77329920357913,"cell cycle","regulation of restriction endodeoxyribonuclease activity"
"GO:0032074",-24.2980247769636,-16.0788307133965,"metabolic process","negative regulation of nuclease activity"
"GO:0032075",-23.3387994972105,-10.2482066184642,"metabolic process","positive regulation of nuclease activity"
"GO:0032076",-24.6959548667959,-11.4956173024755,"metabolic process","negative regulation of deoxyribonuclease activity"
"GO:0032077",-23.6342235197182,-10.0615245416537,"metabolic process","positive regulation of deoxyribonuclease activity"
"GO:0032078",-24.6156992895715,-12.0476662135274,"metabolic process","negative regulation of endodeoxyribonuclease activity"
"GO:0032079",-27.2927946404882,-8.93661169340991,"metabolic process","positive regulation of endodeoxyribonuclease activity"
"GO:0032088",-26.5951382043728,-16.1589015401894,"gene regulation","negative regulation of NF-kappaB transcription factor activity"
"GO:0032091",-22.4403534322779,-13.9169462371985,"protein modification/signaling","negative regulation of protein binding"
"GO:0032092",-22.4975857473425,-13.1926957346567,"other","positive regulation of protein binding"
"GO:0032094",-33.3437028065026,17.4557968954245,"response to stimulus","response to food"
"GO:0032095",4.23748479426749,-14.6253009228091,"immune system process","regulation of response to food"
"GO:0032096",15.5488711626256,6.42048617520667,"immune system process","negative regulation of response to food"
"GO:0032097",4.47513640759066,-5.46528605586114,"immune system process","positive regulation of response to food"
"GO:0032098",25.2993196296714,-34.1138815466561,"multicellular organismal process","regulation of appetite"
"GO:0032099",22.4573886844501,-11.5547181367989,"multicellular organismal process","negative regulation of appetite"
"GO:0032100",18.9238239721678,-22.95810793707,"multicellular organismal process","positive regulation of appetite"
"GO:0032101",-6.8134833627485,38.7193196181219,"response to stimulus","regulation of response to external stimulus"
"GO:0032102",-6.06156529316826,39.9006260601067,"response to stimulus","negative regulation of response to external stimulus"
"GO:0032103",-7.55811249036183,38.529998072286,"response to stimulus","positive regulation of response to external stimulus"
"GO:0032107",-13.2371964103378,-6.59949164862036,"receptor related process","regulation of response to nutrient levels"
"GO:0032108",18.6454821572976,-16.1758213265367,"multicellular organismal process","negative regulation of response to nutrient levels"
"GO:0032109",-17.0291598779627,4.96473047569433,"immune system process","positive regulation of response to nutrient levels"
"GO:0032113",-20.6398488402873,-9.25083336785903,"metabolic process","regulation of carbohydrate phosphatase activity"
"GO:0032119",20.4477158548117,-26.3172775070094,"cellular component organization","sequestering of zinc ion"
"GO:0032147",-21.5136372722791,-5.01479665103534,"protein modification/signaling","activation of protein kinase activity"
"GO:0032148",-20.9914786889322,-4.94141122190009,"protein modification/signaling","activation of protein kinase B activity"
"GO:0032185",-21.5610826834183,-6.71592627370387,"cellular component organization","septin cytoskeleton organization"
"GO:0032194",5.47049902902964,-58.9877463006324,"metabolic process","ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"
"GO:0032196",-38.4844315697263,-8.58407479555771,"gene regulation","transposition"
"GO:0032197",-38.7601606666059,-4.59455463184884,"gene regulation","retrotransposition"
"GO:0032200",-37.0418717579222,-6.59744547546766,"cell cycle","telomere organization"
"GO:0032201",-38.5448188544465,-3.46052360663181,"cell cycle","telomere maintenance via semi-conservative replication"
"GO:0032202",-39.1159443741161,-9.34195486631902,"cell cycle","telomere assembly"
"GO:0032203",-37.7608316835072,-4.4028333480932,"cell cycle","telomere formation via telomerase"
"GO:0032204",-36.2642011842697,-5.95091156576538,"cell cycle","regulation of telomere maintenance"
"GO:0032205",-39.0244966129435,-6.49769876710875,"cell cycle","negative regulation of telomere maintenance"
"GO:0032206",-35.7842138409979,-6.05407842045895,"cell cycle","positive regulation of telomere maintenance"
"GO:0032207",-36.0125995645393,-5.94534470528246,"cell cycle","regulation of telomere maintenance via recombination"
"GO:0032208",-39.3627030398049,-5.40746645986002,"cell cycle","negative regulation of telomere maintenance via recombination"
"GO:0032210",-35.3773696409874,-5.70196615087749,"cell cycle","regulation of telomere maintenance via telomerase"
"GO:0032211",-38.6560951146106,-6.40654986746976,"cell cycle","negative regulation of telomere maintenance via telomerase"
"GO:0032212",-35.0815032846195,-5.973150772251,"cell cycle","positive regulation of telomere maintenance via telomerase"
"GO:0032213",-43.8300360588297,-6.86119660942874,"cell cycle","regulation of telomere maintenance via semi-conservative replication"
"GO:0032214",-43.8430859856066,-6.43780099116623,"cell cycle","negative regulation of telomere maintenance via semi-conservative replication"
"GO:0032218",25.0266925681698,-35.0229838461394,"transport","riboflavin transport"
"GO:0032222",23.4502580732026,-21.7259204234645,"neural related process","regulation of synaptic transmission, cholinergic"
"GO:0032223",26.2359928186124,-19.0815345199946,"neural related process","negative regulation of synaptic transmission, cholinergic"
"GO:0032224",25.5182012393269,-19.8300184482911,"neural related process","positive regulation of synaptic transmission, cholinergic"
"GO:0032225",23.5923801142531,-21.5807827108833,"neural related process","regulation of synaptic transmission, dopaminergic"
"GO:0032226",25.4961590011408,-19.4591939605565,"neural related process","positive regulation of synaptic transmission, dopaminergic"
"GO:0032227",26.2739019432194,-19.0028956603492,"neural related process","negative regulation of synaptic transmission, dopaminergic"
"GO:0032228",27.8190506673846,-16.8509786114988,"neural related process","regulation of synaptic transmission, GABAergic"
"GO:0032229",25.695974767885,-19.1526225442531,"neural related process","negative regulation of synaptic transmission, GABAergic"
"GO:0032230",25.6406735256845,-19.4715673740827,"neural related process","positive regulation of synaptic transmission, GABAergic"
"GO:0032231",10.020068333178,-2.71801814883831,"cellular component organization","regulation of actin filament bundle assembly"
"GO:0032232",10.0216125560546,-2.71372585235968,"cellular component organization","negative regulation of actin filament bundle assembly"
"GO:0032233",9.75125446632535,-3.14293801992971,"cellular component organization","positive regulation of actin filament bundle assembly"
"GO:0032237",8.7382867263409,-21.7648367346895,"transport","activation of store-operated calcium channel activity"
"GO:0032238",25.4226206660325,-35.2217140667761,"transport","adenosine transport"
"GO:0032239",1.57944170696586,-34.987450913581,"transport","regulation of nucleobase-containing compound transport"
"GO:0032240",5.0502205085705,-35.8612924648869,"transport","negative regulation of nucleobase-containing compound transport"
"GO:0032241",1.36298866738703,-34.4125779257475,"transport","positive regulation of nucleobase-containing compound transport"
"GO:0032242",17.0251578043358,-31.8812638470553,"transport","regulation of nucleoside transport"
"GO:0032243",14.3420044404482,-34.4968276442898,"transport","negative regulation of nucleoside transport"
"GO:0032244",10.4534748416865,-38.8884882532137,"transport","positive regulation of nucleoside transport"
"GO:0032252",11.1177679455009,-18.7356663574339,"transport","secretory granule localization"
"GO:0032253",11.1042632202859,-18.7342775331345,"transport","dense core granule localization"
"GO:0032259",-26.8579771208579,-30.4409632930747,"gene regulation","methylation"
"GO:0032261",-14.1814355691541,-60.7770003329012,"metabolic process","purine nucleotide salvage"
"GO:0032262",-14.2118819278693,-60.8141793739053,"metabolic process","pyrimidine nucleotide salvage"
"GO:0032263",-14.2324947766842,-60.6658679653877,"metabolic process","GMP salvage"
"GO:0032264",-13.8558484451969,-60.7295097354921,"metabolic process","IMP salvage"
"GO:0032271",-2.03468292894557,-5.76455942709028,"cellular component organization","regulation of protein polymerization"
"GO:0032272",6.40897967504033,-4.67225374963523,"cellular component organization","negative regulation of protein polymerization"
"GO:0032273",-1.56341190055867,-5.95390197449902,"cellular component organization","positive regulation of protein polymerization"
"GO:0032274",16.122442221548,-36.4781278926025,"multicellular organismal process","gonadotropin secretion"
"GO:0032275",16.0226231025053,-36.0563475408287,"transport","luteinizing hormone secretion"
"GO:0032276",14.7741722620984,-38.9903716348899,"transport","regulation of gonadotropin secretion"
"GO:0032277",18.2199742898086,-32.9174957058944,"transport","negative regulation of gonadotropin secretion"
"GO:0032278",4.07648165994428,-31.325545624808,"transport","positive regulation of gonadotropin secretion"
"GO:0032286",20.5889539875377,-6.75033091272438,"neural related process","central nervous system myelin maintenance"
"GO:0032287",29.4490667736943,-1.6639464193477,"neural related process","peripheral nervous system myelin maintenance"
"GO:0032288",25.295733151911,-1.56201184486291,"neural related process","myelin assembly"
"GO:0032289",25.1520766466427,-4.44147536343074,"neural related process","central nervous system myelin formation"
"GO:0032290",19.9519981300995,-2.90076009834336,"neural related process","peripheral nervous system myelin formation"
"GO:0032291",29.4966244471417,-1.62669433296139,"neural related process","axon ensheathment in central nervous system"
"GO:0032292",29.9055780666285,-1.42511301245378,"neural related process","peripheral nervous system axon ensheathment"
"GO:0032298",-35.5987268497959,-3.63185917402311,"cell cycle","positive regulation of DNA-templated DNA replication initiation"
"GO:0032303",19.8197858508589,-38.5286291999425,"transport","regulation of icosanoid secretion"
"GO:0032304",19.872898364529,-38.916572579818,"transport","negative regulation of icosanoid secretion"
"GO:0032305",19.8306323334987,-38.5486178652398,"transport","positive regulation of icosanoid secretion"
"GO:0032306",19.5721860953813,-37.9569848797515,"transport","regulation of prostaglandin secretion"
"GO:0032307",18.6466066085916,-39.8306045574467,"transport","negative regulation of prostaglandin secretion"
"GO:0032308",19.0882394320751,-38.7529154868187,"transport","positive regulation of prostaglandin secretion"
"GO:0032309",19.8465521323436,-38.0308546374625,"transport","icosanoid secretion"
"GO:0032310",19.7259382443492,-38.0276649670025,"transport","prostaglandin secretion"
"GO:0032324",-14.1690440172153,-61.3810018065979,"metabolic process","molybdopterin cofactor biosynthetic process"
"GO:0032328",22.7662434934263,-36.7225880792282,"transport","alanine transport"
"GO:0032329",23.1953971440793,-36.1764188355306,"transport","serine transport"
"GO:0032330",31.1541369709234,9.82640796666424,"morphogenesis/development","regulation of chondrocyte differentiation"
"GO:0032331",29.3992915458592,13.8857852877747,"morphogenesis/development","negative regulation of chondrocyte differentiation"
"GO:0032332",28.1374042553979,15.043654873739,"morphogenesis/development","positive regulation of chondrocyte differentiation"
"GO:0032341",8.26862530748995,-50.6188027234203,"metabolic process","aldosterone metabolic process"
"GO:0032342",7.79738121091706,-51.0666571965058,"metabolic process","aldosterone biosynthetic process"
"GO:0032344",9.15690488798594,-49.8773749228256,"metabolic process","regulation of aldosterone metabolic process"
"GO:0032345",9.79126569477046,-49.8360260002904,"metabolic process","negative regulation of aldosterone metabolic process"
"GO:0032346",6.94796642086683,-47.6640101747708,"metabolic process","positive regulation of aldosterone metabolic process"
"GO:0032347",8.1282953169766,-50.3931193502432,"metabolic process","regulation of aldosterone biosynthetic process"
"GO:0032348",9.46196245866026,-50.2851588143533,"metabolic process","negative regulation of aldosterone biosynthetic process"
"GO:0032349",8.90882341056268,-50.2855540498264,"metabolic process","positive regulation of aldosterone biosynthetic process"
"GO:0032350",8.04996306824549,-49.7658472362407,"metabolic process","regulation of hormone metabolic process"
"GO:0032351",9.02623882088303,-49.8708720219558,"metabolic process","negative regulation of hormone metabolic process"
"GO:0032352",8.35206531948129,-50.2271547864359,"metabolic process","positive regulation of hormone metabolic process"
"GO:0032353",9.82975806046885,-49.4962345693652,"metabolic process","negative regulation of hormone biosynthetic process"
"GO:0032354",-31.0497802719805,24.1818147763008,"response to stimulus","response to follicle-stimulating hormone"
"GO:0032355",-30.2513869534243,24.4725700430286,"response to stimulus","response to estradiol"
"GO:0032361",-7.15803204955064,-57.1500067174836,"metabolic process","pyridoxal phosphate catabolic process"
"GO:0032364",25.4685472123093,-25.30992100381,"stress response","intracellular oxygen homeostasis"
"GO:0032365",14.5320226915002,-40.8522005978778,"transport","intracellular lipid transport"
"GO:0032366",14.7331901650625,-40.9198311850121,"transport","intracellular sterol transport"
"GO:0032367",14.715643388998,-40.9118924530444,"transport","intracellular cholesterol transport"
"GO:0032368",17.4737039608872,-41.7121772088425,"transport","regulation of lipid transport"
"GO:0032369",18.4192100047404,-42.2142947805272,"transport","negative regulation of lipid transport"
"GO:0032370",17.561033420895,-41.5018236043071,"transport","positive regulation of lipid transport"
"GO:0032371",16.8805087040053,-42.139424264797,"transport","regulation of sterol transport"
"GO:0032372",17.322369529586,-42.3454204303747,"transport","negative regulation of sterol transport"
"GO:0032373",16.9378779064044,-42.0966831999177,"transport","positive regulation of sterol transport"
