term_name,Group,QC
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity,metabolic process,0.9
[protein]-asparagine 3-dioxygenase activity,metabolic process,0.89
[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity,metabolic process,0.25
abducens nerve development,morphogenesis/development,0.93
abducens nerve formation,morphogenesis/development,0.37
abducens nerve morphogenesis,morphogenesis/development,0.684
abducens nucleus development,morphogenesis/development,0.976
abscisic acid-activated signaling pathway,receptor related process,0.498
abscission,morphogenesis/development,0.504
absorption of visible light,cellular component organization,0.216
acetaldehyde metabolic process,metabolic process,0.942
acetate CoA-transferase activity,metabolic process,0.904
acetate biosynthetic process,metabolic process,0.986
acetate ester biosynthetic process,metabolic process,0.894
acetate ester metabolic process,metabolic process,0.884
acetate ester transmembrane transporter activity,transport,0.648
acetate ester transport,transport,0.91
acetate metabolic process,metabolic process,0.98
acetate transport,transport,0.944
acetate-CoA ligase activity,metabolic process,0.834
acetoacetate-CoA ligase activity,metabolic process,0.82
acetoacetic acid metabolic process,metabolic process,0.976
acetoacetyl-CoA hydrolase activity,metabolic process,0.898
acetolactate synthase activity,metabolic process,0.896
acetolactate synthase complex,metabolic process,0.308
acetyl-CoA C-acetyltransferase activity,metabolic process,0.896
acetyl-CoA C-acyltransferase activity,metabolic process,0.912
acetyl-CoA C-myristoyltransferase activity,metabolic process,0.89
acetyl-CoA binding,cellular component organization,0.272
acetyl-CoA biosynthetic process from acetate,metabolic process,0.768
acetyl-CoA biosynthetic process from pyruvate,metabolic process,0.858
acetyl-CoA carboxylase activity,metabolic process,0.744
acetyl-CoA carboxylase complex,metabolic process,0.404
acetyl-CoA catabolic process,metabolic process,0.992
acetyl-CoA hydrolase activity,metabolic process,0.896
acetyl-CoA transmembrane transporter activity,transport,0.462
acetyl-CoA transport,transport,0.748
acetyl-CoA:L-glutamate N-acetyltransferase activity,metabolic process,0.892
acetylalkylglycerol acetylhydrolase activity,metabolic process,0.9
acetylcholine binding,metabolic process,0.238
acetylcholine biosynthetic process,metabolic process,0.838
acetylcholine catabolic process,metabolic process,0.942
acetylcholine catabolic process in synaptic cleft,metabolic process,0.796
acetylcholine metabolic process,metabolic process,0.824
acetylcholine receptor activator activity,receptor related process,0.316
acetylcholine receptor activity,receptor related process,0.41
acetylcholine receptor binding,receptor related process,0.466
acetylcholine receptor inhibitor activity,receptor related process,0.49
acetylcholine receptor regulator activity,receptor related process,0.342
acetylcholine receptor signaling pathway,receptor related process,0.414
acetylcholine secretion,transport,0.608
"acetylcholine secretion, neurotransmission",neural related process,0.23
acetylcholine transmembrane transporter activity,transport,0.626
acetylcholine transport,transport,0.84
acetylcholine uptake,neural related process,0.332
acetylcholine-gated channel complex,protein modification/signaling,0.184
acetylcholine-gated monoatomic cation-selective channel activity,metabolic process,0.25
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,protein modification/signaling,0.168
acetylcholine:proton antiporter activity,metabolic process,0.524
acetylcholinesterase activity,metabolic process,0.9
acetylesterase activity,metabolic process,0.842
"acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity",metabolic process,0.684
"acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",metabolic process,0.684
"acetylgalactosaminyl-O-glycosyl-seryl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity",metabolic process,0.896
"acetylgalactosaminyl-O-glycosyl-seryl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",metabolic process,0.896
"acetylgalactosaminyl-O-glycosyl-threonyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity",metabolic process,0.896
"acetylgalactosaminyl-O-glycosyl-threonyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",metabolic process,0.896
acetylgalactosaminyltransferase activity,metabolic process,0.848
acetylputrescine deacetylase activity,metabolic process,0.9
acetylpyruvate hydrolase activity,metabolic process,0.9
acetylserotonin O-methyltransferase activity,metabolic process,0.894
acetylspermidine deacetylase activity,metabolic process,0.9
acetyltransferase activator activity,metabolic process,0.49
acetyltransferase activity,metabolic process,0.652
acetyltransferase complex,gene regulation,0.59
acid phosphatase activity,metabolic process,0.826
acid secretion,transport,0.572
acid sphingomyelin phosphodiesterase activity,metabolic process,0.818
acid-amino acid ligase activity,metabolic process,0.818
acid-ammonia (or amide) ligase activity,metabolic process,0.848
acid-sensing ion channel activity,metabolic process,0.21
acid-thiol ligase activity,metabolic process,0.664
acidic amino acid transmembrane transporter activity,transport,0.882
acidic amino acid transport,transport,0.914
acinar cell differentiation,morphogenesis/development,0.84
acinar cell proliferation,cell cycle,0.718
acireductone dioxygenase (Ni2+-requiring) activity,metabolic process,0.798
acireductone dioxygenase [iron(II)-requiring] activity,metabolic process,0.798
acireductone synthase activity,metabolic process,0.828
aconitate decarboxylase activity,metabolic process,0.892
aconitate hydratase activity,metabolic process,0.712
acrosin binding,protein modification/signaling,0.3
acrosomal lumen,cellular component organization,0.324
acrosomal matrix,metabolic process,0.488
acrosomal membrane,cellular component organization,0.268
acrosomal vesicle,cellular component organization,0.252
acrosomal vesicle exocytosis,metabolic process,0.416
acrosome assembly,morphogenesis/development,0.292
acrosome matrix dispersal,cellular component organization,0.356
acrosome reaction,cellular component organization,0.346
actin cap,cellular component organization,0.27
actin cortical patch localization,cellular component organization,0.294
actin crosslink formation,cellular component organization,0.404
actin cytoskeleton,cellular component organization,0.728
actin filament branching,cellular component organization,0.312
actin filament bundle,cellular component organization,0.8
actin filament bundle distribution,cellular component organization,0.676
actin filament bundle organization,cellular component organization,0.928
actin filament bundle retrograde transport,cellular component organization,0.434
actin filament capping,cellular component organization,0.904
actin filament debranching,cellular component organization,0.35
actin filament fragmentation,cellular component organization,0.4
actin filament network formation,cellular component organization,0.58
actin filament polymerization,cellular component organization,0.718
actin filament uncapping,cellular component organization,0.824
actin modification,protein modification/signaling,0.324
actin monomer binding,cellular component organization,0.214
actin nucleation,cellular component organization,0.828
actin phosphorylation,metabolic process,0.402
actin polymerization or depolymerization,cellular component organization,0.916
actin polymerization-dependent cell motility,transport,0.168
actin rod assembly,cellular component organization,0.582
actin ubiquitination,gene regulation,0.242
actin-based cell projection,cellular component organization,0.79
actin-mediated cell contraction,cellular component organization,0.402
actin-myosin filament sliding,cellular component organization,0.324
actinin binding,protein modification/signaling,0.434
action potential initiation,neural related process,0.36
action potential propagation,neural related process,0.356
"activated CD8-positive, alpha-beta T cell apoptotic process",cell death,0.224
activated T cell autonomous cell death,cell death,0.344
activating MHC class I receptor activity,immune system process,0.436
activating MHC class Ib receptor activity,protein modification/signaling,0.366
activating signal cointegrator 1 complex,gene regulation,0.306
activation of adenylate cyclase activity,metabolic process,0.244
activation of blood coagulation via clotting cascade,morphogenesis/development,0.224
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,cell death,0.568
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cell death,0.558
activation of meiosis,cell cycle,0.59
activation of meiosis involved in egg activation,morphogenesis/development,0.216
activation of membrane attack complex,cellular component organization,0.304
activation of phospholipase A2 activity,metabolic process,0.316
activation of phospholipase C activity,receptor related process,0.418
activation of phospholipase D activity,morphogenesis/development,0.186
activation of plasma proteins involved in acute inflammatory response,protein modification/signaling,0.24
activation of prostate induction by androgen receptor signaling pathway,receptor related process,0.462
activation of protein kinase A activity,protein modification/signaling,0.412
activation of protein kinase B activity,protein modification/signaling,0.396
activation of protein kinase C activity,protein modification/signaling,0.428
activation of store-operated calcium channel activity,metabolic process,0.168
activation of transmembrane receptor protein tyrosine kinase activity,protein modification/signaling,0.352
activation-induced cell death of T cells,cell death,0.396
active borate transmembrane transporter activity,transport,0.294
active monoatomic ion transmembrane transporter activity,transport,0.79
activin A complex,cellular component organization,0.318
activin complex,cellular component organization,0.366
activin receptor activity,receptor related process,0.588
"activin receptor activity, type I",receptor related process,0.534
"activin receptor activity, type II",receptor related process,0.39
activin receptor antagonist activity,receptor related process,0.568
activin receptor binding,receptor related process,0.412
activin receptor complex,receptor related process,0.338
activin receptor signaling pathway,receptor related process,0.708
activin responsive factor complex,gene regulation,0.296
actomyosin contractile ring,cellular component organization,0.464
actomyosin contractile ring assembly,cellular component organization,0.666
actomyosin contractile ring assembly actin filament organization,cellular component organization,0.506
actomyosin contractile ring contraction,cell cycle,0.666
actomyosin contractile ring organization,cellular component organization,0.682
acute inflammatory response to non-antigenic stimulus,metabolic process,0.196
acyl binding,metabolic process,0.41
acyl carnitine transmembrane transport,cellular component organization,0.278
acyl carnitine transmembrane transporter activity,transport,0.59
acyl carnitine transport,transport,0.85
acyl carrier activity,metabolic process,0.318
acyl-CoA binding,metabolic process,0.732
acyl-CoA biosynthetic process,metabolic process,0.994
acyl-CoA dehydrogenase activity,metabolic process,0.966
acyl-CoA delta5-desaturase activity,metabolic process,0.86
acyl-CoA desaturase activity,metabolic process,0.83
acyl-CoA hydrolase activity,metabolic process,0.85
acyl-CoA metabolic process,metabolic process,0.994
acyl-CoA oxidase activity,metabolic process,0.962
acyl-L-homoserine-lactone lactonohydrolase activity,metabolic process,0.9
acyl-[acyl-carrier-protein] hydrolase activity,metabolic process,0.738
acyl-coenzyme A diphosphatase activity,metabolic process,0.902
acylglycerol acyl-chain remodeling,metabolic process,0.692
acylglycerol biosynthetic process,metabolic process,0.968
acylglycerol catabolic process,metabolic process,0.986
acylglycerol homeostasis,other,0.602
acylglycerol kinase activity,metabolic process,0.798
acylglycerol lipase activity,metabolic process,0.902
acylglycerol transport,transport,0.92
acylglycerone-phosphate reductase activity,metabolic process,0.882
acyloxyacyl hydrolase activity,metabolic process,0.882
acylphosphatase activity,metabolic process,0.85
acylpyruvate hydrolase activity,metabolic process,0.898
"acyltransferase activity, acyl groups converted into alkyl on transfer",metabolic process,0.926
adaptation of rhodopsin mediated signaling,immune system process,0.232
adaptive immune memory response,immune system process,0.694
adaptive immune memory response involving T cells and B cells,immune system process,0.43
adaptive thermogenesis,multicellular organismal process,0.388
adaxial/abaxial pattern specification,morphogenesis/development,0.612
adenine binding,metabolic process,0.248
adenine biosynthetic process,metabolic process,0.91
adenine metabolic process,metabolic process,0.932
adenine nucleotide transmembrane transporter activity,transport,0.724
adenine nucleotide transport,transport,0.922
adenine phosphoribosyltransferase activity,metabolic process,0.878
adenine salvage,morphogenesis/development,0.224
adenine transmembrane transporter activity,cellular component organization,0.296
adenine transport,transport,0.934
adenine/guanine mispair binding,gene regulation,0.212
adenohypophysis development,morphogenesis/development,0.79
adenohypophysis morphogenesis,morphogenesis/development,0.682
"adenosine 3',5'-bisphosphate transmembrane transport",transport,0.69
"adenosine 3',5'-bisphosphate transmembrane transporter activity",transport,0.638
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process,metabolic process,0.896
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process,metabolic process,0.986
adenosine 5'-monophosphoramidase activity,metabolic process,0.846
adenosine biosynthetic process,metabolic process,0.922
adenosine catabolic process,metabolic process,0.78
adenosine deaminase activity,metabolic process,0.646
adenosine kinase activity,metabolic process,0.8
adenosine metabolic process,metabolic process,0.948
adenosine receptor binding,receptor related process,0.484
adenosine to inosine editing,gene regulation,0.612
adenosine transport,transport,0.722
adenosine-phosphate deaminase activity,metabolic process,0.666
adenosylhomocysteinase activity,metabolic process,0.902
adenosylmethionine decarboxylase activity,metabolic process,0.896
adenyl deoxyribonucleotide binding,metabolic process,0.582
adenylate cyclase activator activity,protein modification/signaling,0.206
adenylate cyclase activity,metabolic process,0.84
adenylate cyclase binding,metabolic process,0.208
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity,receptor related process,0.336
adenylate cyclase inhibitor activity,protein modification/signaling,0.202
adenylate cyclase regulator activity,metabolic process,0.426
adenylate cyclase-activating G protein-coupled receptor signaling pathway,receptor related process,0.462
adenylate cyclase-activating adrenergic receptor signaling pathway,receptor related process,0.654
adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation,protein modification/signaling,0.336
adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process,receptor related process,0.512
adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate,receptor related process,0.274
adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate,receptor related process,0.602
adenylate cyclase-activating dopamine receptor signaling pathway,receptor related process,0.642
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway,receptor related process,0.602
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway,receptor related process,0.622
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,receptor related process,0.446
adenylate cyclase-inhibiting adrenergic receptor signaling pathway,receptor related process,0.78
adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process,receptor related process,0.318
adenylate cyclase-inhibiting dopamine receptor signaling pathway,receptor related process,0.632
adenylate cyclase-inhibiting opioid receptor signaling pathway,receptor related process,0.642
adenylate cyclase-inhibiting serotonin receptor signaling pathway,receptor related process,0.642
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,receptor related process,0.342
adenylate kinase activity,metabolic process,0.798
adenylosuccinate synthase activity,metabolic process,0.85
adenylylsulfatase activity,metabolic process,0.904
adenylylsulfate kinase activity,metabolic process,0.796
adenylylsulfate-ammonia adenylyltransferase activity,metabolic process,0.9
adenylyltransferase activity,metabolic process,0.648
adherens junction assembly,cellular component organization,0.686
adherens junction disassembly,cellular component organization,0.622
adherens junction maintenance,cellular component organization,0.72
adhesion of symbiont to host,morphogenesis/development,0.234
adhesion of symbiont to host cell,transport,0.274
adipokinetic hormone binding,metabolic process,0.234
adipokinetic hormone receptor activity,protein modification/signaling,0.186
adiponectin binding,metabolic process,0.306
adiponectin secretion,protein modification/signaling,0.296
adiponectin-activated signaling pathway,receptor related process,0.59
adrenal chromaffin cell differentiation,morphogenesis/development,0.724
adrenal cortex development,morphogenesis/development,0.882
adrenal cortex formation,morphogenesis/development,0.408
adrenal gland development,morphogenesis/development,0.92
adrenergic receptor activity,receptor related process,0.392
adrenergic receptor binding,receptor related process,0.408
adrenergic receptor signaling pathway,receptor related process,0.7
adrenomedullin binding,metabolic process,0.248
adrenomedullin receptor activity,cellular component organization,0.166
adrenomedullin receptor binding,receptor related process,0.5
adrenomedullin receptor complex,receptor related process,0.436
adrenomedullin receptor signaling pathway,receptor related process,0.478
adult feeding behavior,morphogenesis/development,0.292
adult heart development,morphogenesis/development,0.958
adult locomotory behavior,neural related process,0.506
adult walking behavior,morphogenesis/development,0.318
advanced glycation end-product receptor activity,metabolic process,0.358
aflatoxin catabolic process,metabolic process,0.864
aflatoxin metabolic process,metabolic process,0.96
aggregation of unicellular organisms,morphogenesis/development,0.266
aggrephagy,protein modification/signaling,0.264
aggresome,cellular component organization,0.26
aggresome assembly,cellular component organization,0.6
aggressive behavior,multicellular organismal process,0.508
agmatinase activity,metabolic process,0.9
agmatine biosynthetic process,metabolic process,0.64
alanine catabolic process,metabolic process,0.994
alanine metabolic process,metabolic process,0.992
alanine transmembrane transporter activity,transport,0.85
alanine transport,transport,0.952
alanine-glyoxylate transaminase activity,metabolic process,0.896
alanine-oxo-acid transaminase activity,metabolic process,0.894
alanine-tRNA ligase activity,metabolic process,0.822
alanine:sodium symporter activity,transport,0.568
alanyl-tRNA aminoacylation,metabolic process,0.56
alanylglutamate dipeptidase activity,metabolic process,0.9
albendazole monooxygenase activity,metabolic process,0.932
alcohol catabolic process,metabolic process,0.972
alcohol dehydrogenase (NAD+) activity,metabolic process,0.972
alcohol dehydrogenase (NADP+) activity,metabolic process,0.978
alcohol dehydrogenase [NAD(P)+] activity,metabolic process,0.982
"alcohol dehydrogenase activity, zinc-dependent",metabolic process,0.89
alcohol sulfotransferase activity,metabolic process,0.868
alcohol transmembrane transporter activity,transport,0.608
alcohol-forming long-chain fatty acyl-CoA reductase activity,metabolic process,0.872
alcohol-forming very long-chain fatty acyl-CoA reductase activity,metabolic process,0.86
aldehyde biosynthetic process,metabolic process,0.976
aldehyde catabolic process,metabolic process,0.976
aldehyde dehydrogenase (NADP+) activity,metabolic process,0.97
aldehyde dehydrogenase [NAD(P)+] activity,metabolic process,0.98
aldehyde oxidase activity,metabolic process,0.952
aldehyde-lyase activity,metabolic process,0.826
alditol biosynthetic process,metabolic process,0.984
alditol catabolic process,metabolic process,0.984
alditol metabolic process,metabolic process,0.986
alditol phosphate metabolic process,metabolic process,0.9
aldonic acid catabolic process,metabolic process,0.99
aldonic acid metabolic process,metabolic process,0.99
aldose 1-epimerase activity,metabolic process,0.878
aldosterone biosynthetic process,metabolic process,0.856
aldosterone metabolic process,metabolic process,0.99
aldosterone secretion,multicellular organismal process,0.174
aliphatic amine oxidase activity,metabolic process,0.95
alkali metal ion binding,metabolic process,0.266
alkaline phosphatase activity,metabolic process,0.85
alkaloid catabolic process,metabolic process,0.924
alkaloid metabolic process,metabolic process,0.906
alkane 1-monooxygenase activity,metabolic process,0.922
alkanesulfonate binding,metabolic process,0.484
alkanesulfonate biosynthetic process,metabolic process,0.986
alkanesulfonate metabolic process,metabolic process,0.974
alkanesulfonate transmembrane transporter activity,transport,0.768
alkanesulfonate transport,transport,0.932
alkenylglycerophosphocholine hydrolase activity,metabolic process,0.9
alkenylglycerophosphoethanolamine hydrolase activity,metabolic process,0.9
alkyl hydroperoxide reductase activity,metabolic process,0.926
alkylbase DNA N-glycosylase activity,metabolic process,0.548
alkylglycerone-phosphate synthase activity,metabolic process,0.898
alkylglycerophosphoethanolamine phosphodiesterase activity,metabolic process,0.9
alkylthioltransferase activity,metabolic process,0.932
"all-trans retinal 3,4-desaturase activity",metabolic process,0.924
all-trans retinal binding,metabolic process,0.244
all-trans retinoic acid 18-hydroxylase activity,metabolic process,0.924
"all-trans retinoic acid 3,4-desaturase activity",metabolic process,0.928
all-trans retinoic acid 4-hydrolase activity,metabolic process,0.924
"all-trans retinol 3,4-desaturase activity",metabolic process,0.924
all-trans-decaprenyl-diphosphate synthase activity,metabolic process,0.874
all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity,metabolic process,0.874
"all-trans-retinol 13,14-reductase activity",metabolic process,0.724
all-trans-retinol binding,metabolic process,0.238
"all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity",metabolic process,0.906
"all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity",metabolic process,0.9
"all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity",metabolic process,0.9
allantoicase activity,metabolic process,0.9
allantoin catabolic process,metabolic process,0.97
allantoin metabolic process,metabolic process,0.896
allantois development,morphogenesis/development,0.99
allyl-alcohol dehydrogenase activity,metabolic process,0.934
alpha DNA polymerase:primase complex,gene regulation,0.406
"alpha,alpha-trehalase activity",metabolic process,0.9
"alpha-(1,2)-fucosyltransferase activity",metabolic process,0.868
alpha-(1->3)-fucosyltransferase activity,metabolic process,0.864
alpha-(1->6)-fucosyltransferase activity,metabolic process,0.904
"alpha-1,2-mannosyltransferase activity",metabolic process,0.828
"alpha-1,3-glucosidase activity",metabolic process,0.67
"alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity",metabolic process,0.896
"alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity",metabolic process,0.896
"alpha-1,3-mannosyltransferase activity",metabolic process,0.82
"alpha-1,4-N-acetylgalactosaminyltransferase activity",metabolic process,0.572
"alpha-1,4-glucosidase activity",metabolic process,0.676
"alpha-1,4-mannosyltransferase activity",metabolic process,0.54
"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity",metabolic process,0.896
"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity",metabolic process,0.818
"alpha-1,6-mannosyltransferase activity",metabolic process,0.82
alpha-1B adrenergic receptor binding,receptor related process,0.502
alpha-2 macroglobulin receptor activity,cellular component organization,0.206
alpha-2A adrenergic receptor binding,receptor related process,0.49
alpha-2B adrenergic receptor binding,receptor related process,0.504
alpha-2C adrenergic receptor binding,receptor related process,0.504
alpha-L-arabinofuranosidase activity,metabolic process,0.482
alpha-L-fucosidase activity,metabolic process,0.834
alpha-N-acetylgalactosaminidase activity,metabolic process,0.482
"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity",metabolic process,0.896
alpha-N-acetylglucosaminidase activity,metabolic process,0.476
"alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity",metabolic process,0.896
"alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity",metabolic process,0.896
alpha-actinin binding,protein modification/signaling,0.46
alpha-adrenergic receptor activity,receptor related process,0.584
alpha-amino-acid esterase activity,metabolic process,0.896
alpha-aminoacyl-tRNA binding,metabolic process,0.244
alpha-amylase activity,metabolic process,0.522
alpha-beta T cell lineage commitment,immune system process,0.534
alpha-beta T cell receptor complex,receptor related process,0.24
alpha-beta intraepithelial T cell differentiation,immune system process,0.776
alpha-catenin binding,cellular component organization,0.226
alpha-galactosidase activity,metabolic process,0.676
alpha-glucosidase activity,metabolic process,0.682
alpha-glucoside transmembrane transporter activity,transport,0.584
alpha-glucoside transport,transport,0.69
alpha-ketoglutarate transmembrane transporter activity,transport,0.546
alpha-ketoglutarate transport,transport,0.984
alpha-linolenic acid metabolic process,metabolic process,0.846
alpha-mannosidase activity,metabolic process,0.684
alpha-methylacyl-CoA racemase activity,metabolic process,0.896
alpha-sialidase activity,metabolic process,0.728
alpha-tocopherol omega-hydroxylase activity,metabolic process,0.932
alpha-tubulin acetylation,protein modification/signaling,0.252
alpha1-adrenergic receptor activity,receptor related process,0.35
alpha2-adrenergic receptor activity,receptor related process,0.348
alpha9-beta1 integrin-ADAM8 complex,cellular component organization,0.27
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex,cellular component organization,0.236
alphav-beta3 integrin-HMGB1 complex,protein modification/signaling,0.334
alphav-beta3 integrin-IGF-1-IGF1R complex,receptor related process,0.314
alphav-beta3 integrin-PKCalpha complex,protein modification/signaling,0.424
alphav-beta3 integrin-vitronectin complex,cellular component organization,0.28
alveolar lamellar body,cellular component organization,0.222
alveolar lamellar body membrane,cellular component organization,0.244
alveolar primary septum development,morphogenesis/development,0.796
alveolar secondary septum development,morphogenesis/development,0.864
amacrine cell differentiation,morphogenesis/development,0.628
ameloblast differentiation,morphogenesis/development,0.72
amidase activity,metabolic process,0.904
amide catabolic process,metabolic process,0.934
amide metabolic process,metabolic process,0.838
amide transmembrane transporter activity,transport,0.636
amidine-lyase activity,metabolic process,0.768
amidinotransferase activity,metabolic process,0.892
amidophosphoribosyltransferase activity,metabolic process,0.878
amine N-methyltransferase activity,metabolic process,0.884
amine binding,metabolic process,0.296
amine catabolic process,metabolic process,0.944
amine metabolic process,metabolic process,0.936
amine sulfotransferase activity,metabolic process,0.898
amine transmembrane transporter activity,transport,0.614
amine transport,transport,0.586
amine-lyase activity,metabolic process,0.842
aminergic neurotransmitter loading into synaptic vesicle,transport,0.4
amino acid activation for nonribosomal peptide biosynthetic process,metabolic process,0.758
amino acid binding,metabolic process,0.368
amino acid export across plasma membrane,transport,0.864
amino acid import,transport,0.4
amino acid import across plasma membrane,transport,0.882
amino acid kinase activity,metabolic process,0.686
amino acid neurotransmitter reuptake,transport,0.578
amino acid salvage,metabolic process,0.788
amino acid transmembrane export from vacuole,transport,0.792
amino acid transmembrane transport,transport,0.854
amino acid transmembrane transporter activity,transport,0.846
amino acid transport,transport,0.894
amino acid transport complex,cellular component organization,0.34
amino acid:monoatomic cation antiporter activity,transport,0.602
amino acid:monoatomic cation symporter activity,transport,0.66
amino acid:proton symporter activity,transport,0.556
amino acid:sodium symporter activity,transport,0.592
amino disaccharide catabolic process,metabolic process,0.948
amino disaccharide metabolic process,metabolic process,0.906
amino sugar biosynthetic process,metabolic process,0.988
amino sugar catabolic process,metabolic process,0.98
amino-acid betaine biosynthetic process,metabolic process,0.984
amino-acid betaine catabolic process,metabolic process,0.97
amino-acid betaine metabolic process,metabolic process,0.982
amino-acid betaine transmembrane transporter activity,transport,0.662
amino-acid betaine transport,transport,0.912
amino-acid racemase activity,metabolic process,0.88
aminoacetone:oxygen oxidoreductase(deaminating) activity,metabolic process,0.9
aminoacyl-tRNA editing activity,gene regulation,0.406
aminoacyl-tRNA hydrolase activity,metabolic process,0.852
aminoacyl-tRNA ligase activity,metabolic process,0.566
aminoacyl-tRNA metabolism involved in translational fidelity,metabolic process,0.552
aminoacyl-tRNA synthetase multienzyme complex,metabolic process,0.328
aminoacylase activity,metabolic process,0.896
aminobutyraldehyde dehydrogenase activity,metabolic process,0.926
aminocarboxymuconate-semialdehyde decarboxylase activity,metabolic process,0.896
aminoglycan catabolic process,metabolic process,0.97
aminoglycan metabolic process,metabolic process,0.956
aminoglycoside antibiotic metabolic process,metabolic process,0.98
aminomethyltransferase activity,metabolic process,0.896
aminomuconate-semialdehyde dehydrogenase activity,metabolic process,0.93
aminopeptidase activity,metabolic process,0.526
aminophospholipid flippase activity,transport,0.462
aminophospholipid translocation,cellular component organization,0.246
aminophospholipid transport,transport,0.874
ammon gyrus development,morphogenesis/development,0.908
ammonia assimilation cycle,cell cycle,0.224
ammonia ligase activity,metabolic process,0.692
ammonia-lyase activity,metabolic process,0.804
ammonium homeostasis,other,0.46
ammonium import across plasma membrane,transport,0.5
ammonium ion metabolic process,metabolic process,0.84
ammonium transmembrane transport,transport,0.792
ammonium transmembrane transporter activity,transport,0.532
amniotic stem cell differentiation,morphogenesis/development,0.694
amphisome,cellular component organization,0.298
amphisome membrane,cellular component organization,0.34
amygdala development,morphogenesis/development,0.742
amylase activity,metabolic process,0.72
amylin receptor activity,cellular component organization,0.172
amylin receptor complex,receptor related process,0.312
amylin receptor complex 1,receptor related process,0.344
amylin receptor complex 2,receptor related process,0.36
amylin receptor complex 3,receptor related process,0.39
amylin receptor signaling pathway,receptor related process,0.798
"amylo-alpha-1,6-glucosidase activity",metabolic process,0.606
amyloid precursor protein biosynthetic process,metabolic process,0.702
amyloid-beta binding,protein modification/signaling,0.164
amyloid-beta clearance by cellular catabolic process,cellular component organization,0.186
amyloid-beta clearance by transcytosis,cellular component organization,0.174
amyloid-beta complex,protein modification/signaling,0.23
amyloid-beta formation,protein modification/signaling,0.198
amylopectin biosynthetic process,metabolic process,0.886
amylopectin metabolic process,metabolic process,0.95
anagen,morphogenesis/development,0.174
"anandamide 11,12 epoxidase activity",metabolic process,0.924
"anandamide 14,15 epoxidase activity",metabolic process,0.924
"anandamide 8,9 epoxidase activity",metabolic process,0.924
anandamide epoxidase activity,metabolic process,0.806
anaphase-promoting complex,protein modification/signaling,0.352
anaphase-promoting complex binding,protein modification/signaling,0.316
anaphase-promoting complex-dependent catabolic process,metabolic process,0.592
anastral spindle assembly,cellular component organization,0.512
anatomical structure arrangement,morphogenesis/development,0.494
anatomical structure development,morphogenesis/development,0.21
anatomical structure morphogenesis,morphogenesis/development,0.566
anatomical structure regression,morphogenesis/development,0.784
anchoring collagen complex,cellular component organization,0.488
anchoring junction,cell adhesion,0.468
androgen binding,metabolic process,0.246
androgen biosynthetic process,metabolic process,0.804
androgen catabolic process,metabolic process,0.81
androgen metabolic process,metabolic process,0.896
androgen receptor signaling pathway,receptor related process,0.768
androgen secretion,cellular component organization,0.182
"androstan-3-alpha,17-beta-diol dehydrogenase activity",metabolic process,0.938
androsterone dehydrogenase (B-specific) activity,metabolic process,0.916
androsterone dehydrogenase activity,metabolic process,0.988
angiogenesis involved in coronary vascular morphogenesis,morphogenesis/development,0.286
angiogenic sprout fusion,morphogenesis/development,0.248
